v offset,I_a,I ol,I w
0.0,28.424147487852913,34.57885992645319,48.97123334987775
25.0,28.365127230982733,34.34851192363824,48.89588695059018
50.0,28.181957740813935,33.98071097293969,48.638724849783834
75.0,27.856638225663655,33.51667321595765,48.14319600926543
100.0,27.280259579935674,32.952193710101895,47.40634897447718
125.0,26.725597235738647,32.28180462119254,46.489472293118965
150.0,25.983913127120005,31.49845647677968,45.40441022873139
175.0,25.13487488306052,30.593048028610028,44.14120148419985
200.0,24.190525896943345,29.553713453152902,42.68066561103313
225.0,23.1557088587827,28.36469717965306,40.99583702172677
250.0,22.027298827019894,27.004475725127286,39.04622849149807
